0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 13, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 0, 0, 
0, 0, 11, 1, 1, 1, 1, 1, 1, 16, 1, 16, 1, 1, 1, 1, 1, 1, 12, 0, 0, 
0, 0, 11, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 12, 0, 0, 
0, 0, 11, 10, 10, 10, 9, 9, 9, 9, 8, 9, 9, 9, 10, 10, 10, 10, 12, 0, 0, 
0, 0, 11, 10, 10, 10, 9, 9, 9, 8, 8, 9, 9, 9, 10, 10, 10, 10, 12, 0, 0, 
0, 0, 11, 10, 9, 9, 9, 9, 8, 8, 9, 9, 9, 10, 10, 10, 10, 10, 12, 0, 0, 
0, 0, 11, 10, 10, 9, 9, 9, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 12, 0, 0, 
0, 0, 11, 10, 10, 9, 9, 9, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 12, 0, 0, 
0, 0, 11, 10, 10, 9, 9, 9, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 12, 0, 0, 
0, 0, 11, 10, 10, 9, 9, 9, 9, 8, 8, 8, 9, 9, 10, 10, 10, 10, 12, 0, 0, 
0, 0, 11, 10, 10, 10, 9, 9, 9, 9, 8, 9, 9, 9, 9, 10, 10, 10, 12, 0, 0, 
0, 0, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
